content_id,description,disagreement_type,is_disagreement,severity_gap,human_review_priority,llm_policy,llm_severity,llm_confidence,llm_reasoning,rules_policy,rules_severity
CNT-0441,Reupload of Video sharing links to websites where drugs can be purchased online ,"LLM finds violation, rules miss it",True,3,2.4,Recreational Drugs,RED,HIGH,"The content shares links to websites where drugs can be purchased, which directly promotes or facilitates the buying and",None,N/A
CNT-0104,Extended cut: News segment covering abortion legislation changes factually (2024,"LLM finds violation, rules miss it",True,1,0.8,Controversial Issues,GREEN,HIGH,"The content is a factual news segment covering abortion legislation changes, which falls under non-graphic news coverage",None,N/A
CNT-0084,New upload: Personal story about recovering from opioid addiction,"LLM finds violation, rules miss it",True,1,0.8,Recreational Drugs,GREEN,HIGH,"The content is a personal story about recovering from opioid addiction, which is explicitly listed as 'Drug addiction re",None,N/A
CNT-0032,New upload: Content depicting graphic torture of a restrained person,Both classifiers agree,False,0,0.0,Violence,RED,HIGH,"The content explicitly depicts 'graphic torture,' which is a direct match for the RED tier under the Violence policy.",Violence,RED
CNT-0487,Trending: Review comparing different vaping juice flavors and nicotine levels,"LLM finds violation, rules miss it",True,2,1.6,Tobacco-Related Content,YELLOW,HIGH,"The content describes a review comparing vaping juice flavors and nicotine levels, which directly falls under content pr",None,N/A
CNT-0009,Commentary video where profanity is used in most sentences throughout - viewer d,"LLM finds violation, rules miss it",True,2,1.6,Inappropriate Language,YELLOW,HIGH,"The content description explicitly states that profanity is used in most sentences throughout the video, which directly ",None,N/A
CNT-0082,Part 2: Video inciting viewers to commit violence against disabled people - view,"LLM finds violation, rules miss it",True,3,2.4,Violence,RED,HIGH,"The content explicitly states it is 'inciting viewers to commit violence', which directly falls under the 'incitement or",None,N/A
CNT-0264,Compilation video dedicated to insulting and mocking a public figure | unedited,Both classifiers agree,False,0,0.0,Incendiary & Demeaning,YELLOW,HIGH,"The content is a compilation video dedicated to insulting and mocking a public figure, which directly aligns with the po",Incendiary & Demeaning,YELLOW
CNT-0003,Reupload of Stand-up comedy set with frequent use of 'bitch' and 'asshole' (2024,"LLM finds violation, rules miss it",True,1,0.8,Inappropriate Language,GREEN,HIGH,"The content is a stand-up comedy set with frequent use of moderate profanity like 'bitch' and 'asshole', which is explic",None,N/A
CNT-0480,Close-up video of extreme surgical procedure with exposed organs no context,"LLM finds violation, rules miss it",True,3,2.4,Shocking Content,RED,HIGH,"The content describes a close-up, extreme surgical procedure with exposed organs and explicitly states 'no context,' whi",None,N/A
CNT-0254,Reupload of Action movie clip showing character getting punched with minimal blo,Both classifiers agree,False,0,0.0,Violence,GREEN,HIGH,"The content describes mild violence with minimal blood, which aligns with the 'mild violence with minimal blood' criteri",Violence,GREEN
