content_id,description,llm_policy_id,llm_policy_name,llm_severity_tier,llm_confidence,llm_reasoning
CNT-0441,Reupload of Video sharing links to websites where drugs can be purchased online ,POL-DRUG,Recreational Drugs,RED,HIGH,"The content shares links to websites where drugs can be purchased, which directly promotes or facilitates the buying and selling of drugs."
CNT-0104,Extended cut: News segment covering abortion legislation changes factually (2024,POL-CONTROV,Controversial Issues,GREEN,HIGH,"The content is a factual news segment covering abortion legislation changes, which falls under non-graphic news coverage of controversial issues."
CNT-0084,New upload: Personal story about recovering from opioid addiction,POL-DRUG,Recreational Drugs,GREEN,HIGH,"The content is a personal story about recovering from opioid addiction, which is explicitly listed as 'Drug addiction recovery stories' in the GREEN tier for ads eligibility."
CNT-0084,New upload: Personal story about recovering from opioid addiction,POL-CONTROV,Controversial Issues,GREEN,HIGH,"Opioid addiction is a controversial issue, but the content focuses on a personal recovery story, which falls under non-graphic discussions of controversial issues in the GREEN tier."
CNT-0084,New upload: Personal story about recovering from opioid addiction,POL-SENSIT,Sensitive Events,GREEN,HIGH,"A personal story about recovering from opioid addiction is a discussion about a sensitive event that is not exploitative, aligning with the GREEN tier."
CNT-0032,New upload: Content depicting graphic torture of a restrained person,POL-VIOL,Violence,RED,HIGH,"The content explicitly depicts 'graphic torture,' which is a direct match for the RED tier under the Violence policy."
CNT-0032,New upload: Content depicting graphic torture of a restrained person,POL-SHOCK,Shocking Content,RED,HIGH,"Depicting 'graphic torture' is inherently highly shocking, gruesome, and disgusting, aligning with the RED tier for Shocking Content."
CNT-0032,New upload: Content depicting graphic torture of a restrained person,POL-HARM,Harmful Acts & Unreliable Content,RED,HIGH,"Graphic torture constitutes an extreme harmful act, aligning with the RED tier for Harmful Acts, which includes content causing critical harm."
CNT-0032,New upload: Content depicting graphic torture of a restrained person,POL-KIDS,Inappropriate Content for Kids,RED,HIGH,"Content depicting 'graphic torture' is severely inappropriate for children, warranting a RED classification under Inappropriate Content for Kids."
CNT-0487,Trending: Review comparing different vaping juice flavors and nicotine levels,POL-TOBAC,Tobacco-Related Content,YELLOW,HIGH,"The content describes a review comparing vaping juice flavors and nicotine levels, which directly falls under content promoting tobacco and tobacco-related products like vape pens and e-cigarettes."
CNT-0009,Commentary video where profanity is used in most sentences throughout - viewer d,POL-LANG,Inappropriate Language,YELLOW,HIGH,"The content description explicitly states that profanity is used in most sentences throughout the video, which directly matches the 'Focal usage of profanity throughout a video' criterion for the YELLOW tier."
CNT-0082,Part 2: Video inciting viewers to commit violence against disabled people - view,POL-VIOL,Violence,RED,HIGH,"The content explicitly states it is 'inciting viewers to commit violence', which directly falls under the 'incitement or glorification of violence' tier."
CNT-0082,Part 2: Video inciting viewers to commit violence against disabled people - view,POL-HATE,Hateful & Derogatory Content,RED,HIGH,"The content promotes violence 'against disabled people', which constitutes hate or harassment towards a protected group and promotes violence against others."
CNT-0082,Part 2: Video inciting viewers to commit violence against disabled people - view,POL-HARM,Harmful Acts & Unreliable Content,RED,HIGH,Inciting violence is a clear example of 'content glorifying dangerous acts' and promoting actions that cause critical harm.
CNT-0264,Compilation video dedicated to insulting and mocking a public figure | unedited,POL-INCEND,Incendiary & Demeaning,YELLOW,HIGH,"The content is a compilation video dedicated to insulting and mocking a public figure, which directly aligns with the policy's description of content that focuses on shaming or insulting an individual or group."
CNT-0003,Reupload of Stand-up comedy set with frequent use of 'bitch' and 'asshole' (2024,POL-LANG,Inappropriate Language,GREEN,HIGH,"The content is a stand-up comedy set with frequent use of moderate profanity like 'bitch' and 'asshole', which is explicitly covered under the GREEN tier for this policy."
CNT-0480,Close-up video of extreme surgical procedure with exposed organs no context,POL-SHOCK,Shocking Content,RED,HIGH,"The content describes a close-up, extreme surgical procedure with exposed organs and explicitly states 'no context,' which aligns with 'Disgusting gruesome gory presentations with no context' and 'Highly shocking content where whole purpose is to shock' in the RED tier."
CNT-0254,Reupload of Action movie clip showing character getting punched with minimal blo,POL-VIOL,Violence,GREEN,HIGH,"The content describes mild violence with minimal blood, which aligns with the 'mild violence with minimal blood' criteria for the GREEN tier."
CNT-0230,Reupload of Video containing racial slurs used casually in conversation | unedit,POL-LANG,Inappropriate Language,RED,HIGH,"The content explicitly contains racial slurs, which are classified as extreme profanity and hateful language, warranting a RED severity tier."
CNT-0230,Reupload of Video containing racial slurs used casually in conversation | unedit,POL-HATE,Hateful & Derogatory Content,RED,HIGH,"The casual and unedited use of racial slurs constitutes hate or harassment towards individuals or groups and disparages protected groups, falling under the RED tier."
CNT-0230,Reupload of Video containing racial slurs used casually in conversation | unedit,POL-KIDS,Inappropriate Content for Kids,RED,HIGH,"Content containing racial slurs promotes negative behavior and is inherently inappropriate for children, regardless of the intended audience."
CNT-0490,Documentary about the history of the war on drugs in America (2024),POL-DRUG,Recreational Drugs,GREEN,HIGH,"The content is a documentary about the history of the war on drugs, which aligns with the green tier for educational content about drug trafficking and related issues."
CNT-0490,Documentary about the history of the war on drugs in America (2024),POL-CONTROV,Controversial Issues,GREEN,HIGH,"The 'war on drugs' is a well-known controversial socio-political issue, and a documentary discussing its history fits the green tier for non-graphic discussions of such topics."
CNT-0490,Documentary about the history of the war on drugs in America (2024),POL-SENSIT,Sensitive Events,GREEN,HIGH,"The history of the war on drugs involves sensitive events and tragedies, and a documentary discussing these in a non-exploitative manner is classified as green."
CNT-0490,Documentary about the history of the war on drugs in America (2024),POL-VIOL,Violence,GREEN,MEDIUM,"A documentary about the war on drugs may depict historical violence, but in an educational context, it would likely fall under the green tier for non-graphic or contextualized violence."
CNT-0490,Documentary about the history of the war on drugs in America (2024),POL-FIRE,Firearms,GREEN,MEDIUM,"The historical context of the war on drugs may include depictions of firearms, which, when presented responsibly in a documentary, align with the green tier."
CNT-0345,Reupload of Commentary video where profanity is used in most sentences throughou,POL-LANG,Inappropriate Language,YELLOW,HIGH,"The content description explicitly states that profanity is used in most sentences throughout the video, which directly matches the 'Focal usage of profanity throughout a video' criterion for the YELLOW tier."
CNT-0459,Part 2: Discussion video about proposed gun control legislation - viewer discret,POL-FIRE,Firearms,GREEN,HIGH,"The content is a discussion video about gun control legislation, which is explicitly listed as a GREEN tier example under 'Gun legislation discussions'."
CNT-0459,Part 2: Discussion video about proposed gun control legislation - viewer discret,POL-CONTROV,Controversial Issues,YELLOW,MEDIUM,"Gun control legislation is a controversial issue. The 'viewer discretion advised' suggests the discussion may delve into sensitive or potentially upsetting aspects, aligning with the YELLOW tier for educational or documentary representations of controversial issues."
CNT-0043,Trending: Video showing exposed nudity with clearly visible sexual body parts - ,POL-ADULT,Adult Content,RED,HIGH,"The content description explicitly states 'exposed nudity with clearly visible sexual body parts,' which directly matches the RED tier for adult content."
CNT-0092,Content glorifying a drug cartel leader and their lifestyle,POL-DRUG,Recreational Drugs,RED,HIGH,"Content glorifying a drug cartel leader directly promotes or glorifies drug trafficking organizations and their illegal activities, which falls under the RED tier."
CNT-0092,Content glorifying a drug cartel leader and their lifestyle,POL-VIOL,Violence,RED,HIGH,"Glorifying a drug cartel leader implicitly glorifies the violence and criminal acts associated with such organizations, which constitutes incitement or glorification of violence."
CNT-0092,Content glorifying a drug cartel leader and their lifestyle,POL-HARM,Harmful Acts & Unreliable Content,RED,HIGH,"Glorifying a drug cartel leader and their lifestyle promotes dangerous and illegal acts, which is explicitly a RED tier violation."
CNT-0092,Content glorifying a drug cartel leader and their lifestyle,POL-DISHON,Enabling Dishonest Behavior,RED,HIGH,"Glorifying a drug cartel leader promotes and facilitates illegal activities and criminal behavior, which is a RED tier violation."
CNT-0092,Content glorifying a drug cartel leader and their lifestyle,POL-KIDS,Inappropriate Content for Kids,RED,HIGH,"Content glorifying a criminal leader and their lifestyle promotes negative behavior and adult themes, making it highly inappropriate for kids and a RED tier violation."
CNT-0332,Self-defense tutorial demonstrating basic blocking techniques (2024),POL-VIOL,Violence,GREEN,HIGH,"The content is a self-defense tutorial demonstrating basic blocking techniques, which is educational and non-graphic, aligning with the 'educational context' and 'dramatized non-graphic' aspects of the green tier."
CNT-0277,Reupload of Educational video about STDs using animated depictions of sex (2024),POL-ADULT,Adult Content,YELLOW,HIGH,"The content is an educational video about STDs that includes animated depictions of sex, which falls under the yellow tier for non-arousing sexual education with animated sex acts."
CNT-0108,Full video: Personal recovery story from someone who overcame bulimia | unedited,POL-CONTROV,Controversial Issues,GREEN,HIGH,"The content is a personal recovery story from an eating disorder (bulimia), which is explicitly listed as 'Eating disorder recovery stories' in the GREEN tier for Controversial Issues."
CNT-0234,New upload: Music video with backing track containing bleeped profanity,POL-LANG,Inappropriate Language,GREEN,HIGH,"The content is a music video featuring bleeped profanity, which falls under the 'obscured profanity' and 'most profanity in music' descriptions for the GREEN tier."
CNT-0103,PSA video about suicide prevention hotline and mental health resources,POL-CONTROV,Controversial Issues,GREEN,HIGH,"The video is a Public Service Announcement (PSA) focused on suicide prevention and providing mental health resources, which aligns with content related to preventing controversial issues."
CNT-0103,PSA video about suicide prevention hotline and mental health resources,POL-SENSIT,Sensitive Events,GREEN,HIGH,"The content is a PSA discussing suicide prevention and mental health resources, which is a non-exploitative discussion of a sensitive event."
CNT-0303,Full video: Content promoting anti-vaccination conspiracy theories as facts - fu,POL-HARM,Harmful Acts & Unreliable Content,RED,HIGH,"The content explicitly promotes anti-vaccination conspiracy theories as facts, which directly falls under the RED tier for promoting anti-vaccination."
CNT-0176,Full video: Mukbang video eating live octopus tentacles in theatrical manner (20,POL-SHOCK,Shocking Content,RED,HIGH,"The content describes a mukbang video where live octopus tentacles are eaten, which directly matches the RED tier criteria of 'Eating live animals to shock'."
CNT-0188,Full video: Content promoting white supremacist ideology and symbols,POL-HATE,Hateful & Derogatory Content,RED,HIGH,"The content explicitly promotes white supremacist ideology and symbols, which directly aligns with the RED tier for promoting hate groups or symbols."
CNT-0248,Full video: Content claiming that cancer can be cured through diet alone - full ,POL-HARM,Harmful Acts & Unreliable Content,RED,HIGH,"The content promotes dangerous medical misinformation by claiming cancer can be cured through diet alone, which denies established medical conditions and treatments and could lead to severe harm."
CNT-0197,Viewer requested: Video titled 'F*ck This Product' with uncensored profanity (20,POL-LANG,Inappropriate Language,RED,HIGH,"The video title contains strong profanity ('F*ck'), which is explicitly classified as RED tier for Inappropriate Language when used in titles or thumbnails."
CNT-0435,New upload: Video promoting essay writing services for university assignments (2,POL-DISHON,Enabling Dishonest Behavior,RED,HIGH,"The content explicitly promotes academic essay writing services for university assignments, which is listed as a RED tier violation under 'Enabling Dishonest Behavior'."
CNT-0001,New upload: Comedy sketch where host says 'what the hell' and 'damn' throughout,POL-LANG,Inappropriate Language,GREEN,HIGH,"The content uses mild profanity like 'hell' and 'damn' throughout a comedy sketch, which falls under the GREEN tier for inappropriate language."
CNT-0172,Content claiming a school shooting was staged with crisis actors #trending,POL-HARM,Harmful Acts & Unreliable Content,RED,HIGH,"The content promotes severe misinformation by claiming a school shooting was staged with crisis actors, which is comparable to denying medical conditions or spreading other forms of harmful misinformation listed in the RED tier."
CNT-0172,Content claiming a school shooting was staged with crisis actors #trending,POL-SENSIT,Sensitive Events,RED,HIGH,"The content exploits a sensitive event (school shooting) by denying its reality and spreading a harmful conspiracy theory, which directly aligns with the RED tier for exploiting tragedies."
CNT-0012,Video containing racial slurs used casually in conversation | unedited,POL-LANG,Inappropriate Language,RED,HIGH,"The content contains racial slurs used casually, which falls under extreme profanity and hateful language, placing it in the RED tier."
CNT-0012,Video containing racial slurs used casually in conversation | unedited,POL-HATE,Hateful & Derogatory Content,RED,HIGH,"Casual and unedited use of racial slurs constitutes hateful and derogatory content, as it disparages protected groups and is not presented in an educational context."
CNT-0012,Video containing racial slurs used casually in conversation | unedited,POL-INCEND,Incendiary & Demeaning,YELLOW,HIGH,"The casual use of racial slurs is inherently demeaning and insulting to individuals or groups, fitting the description of gratuitously demeaning content."
CNT-0112,Full video: First person account describing child abuse in graphic sexual detail,POL-VIOL,Violence,RED,HIGH,"The content describes child abuse in graphic detail, which falls under the 'violence targeting minors' criterion in the RED tier."
CNT-0112,Full video: First person account describing child abuse in graphic sexual detail,POL-ADULT,Adult Content,RED,HIGH,"The description explicitly mentions 'graphic sexual detail' related to child abuse, which is considered 'sexual acts even if blurred or implied' and highly explicit content, placing it in the RED tier."
CNT-0112,Full video: First person account describing child abuse in graphic sexual detail,POL-SHOCK,Shocking Content,RED,HIGH,"A first-person account describing child abuse in graphic sexual detail is inherently 'highly shocking content' and involves 'extreme injuries' (emotional/physical), aligning with the RED tier."
CNT-0112,Full video: First person account describing child abuse in graphic sexual detail,POL-CONTROV,Controversial Issues,RED,HIGH,"The content is a 'descriptive child abuse content' with graphic details, which is explicitly listed as a RED tier violation for controversial issues."
CNT-0112,Full video: First person account describing child abuse in graphic sexual detail,POL-KIDS,Inappropriate Content for Kids,RED,HIGH,"Content describing child abuse in graphic sexual detail is extremely inappropriate for kids and contains 'adult themes' that are not suitable for any child audience, warranting a RED tier classification."
CNT-0432,Extended cut: Political debate using offensive language about ethnic minorities ,POL-HATE,Hateful & Derogatory Content,RED,HIGH,"The content explicitly describes 'offensive language about ethnic minorities,' which directly aligns with statements disparaging protected groups."
CNT-0432,Extended cut: Political debate using offensive language about ethnic minorities ,POL-LANG,Inappropriate Language,RED,HIGH,"The use of 'offensive language about ethnic minorities' strongly suggests the presence of hateful language or slurs, which falls under the extreme profanity tier."
CNT-0432,Extended cut: Political debate using offensive language about ethnic minorities ,POL-KIDS,Inappropriate Content for Kids,RED,HIGH,Content featuring offensive language about ethnic minorities is highly inappropriate for children and promotes negative behavior.
CNT-0183,Video titled 'how to end your life with dignity' with instructions,POL-CONTROV,Controversial Issues,RED,HIGH,"The content explicitly promotes and provides instructions for suicide, which falls under the RED tier for 'Promotion of self-harm or suicide'."
CNT-0326,New upload: Video showing how to break into houses using lockpicking tools,POL-HARM,Harmful Acts & Unreliable Content,RED,HIGH,"The content shows how to break into houses, which is an illegal and dangerous act, thus glorifying dangerous acts and potentially causing critical harm."
CNT-0326,New upload: Video showing how to break into houses using lockpicking tools,POL-DISHON,Enabling Dishonest Behavior,RED,HIGH,"The video explicitly teaches unauthorized access to private property (houses) using lockpicking tools, which directly falls under content teaching unauthorized access and trespassing promotion."
CNT-0289,Full video: Kids channel video showing realistic toy guns being fired,POL-KIDS,Inappropriate Content for Kids,RED,HIGH,"The content explicitly describes a 'Kids channel video showing realistic toy guns being fired,' which directly matches the RED tier example 'Realistic guns in kids content'."
CNT-0417,Reupload of Educational video about the history of the civil rights movement #tr,NONE,No policy violation,GREEN,HIGH,"The content is described as an 'Educational video about the history of the civil rights movement,' which is generally considered advertiser-friendly and does not violate any specific policy categories based on the provided description."
CNT-0477,Content glorifying a drug cartel leader and their lifestyle | unedited,POL-DRUG,Recreational Drugs,RED,HIGH,"The content explicitly glorifies a drug cartel leader and their lifestyle, which directly promotes drug trafficking organizations and illegal drug activities."
