content_id,description,true_policy_id,true_policy_name,true_severity,source_note
CNT-0441,Reupload of Video sharing links to websites where drugs can be purchased online #trending,POL-DRUG,Recreational Drugs,RED,Selling drugs online
CNT-0104,Extended cut: News segment covering abortion legislation changes factually (2024),POL-CONTROV,Controversial Issues,GREEN,Non-graphic abortion coverage
CNT-0084,New upload: Personal story about recovering from opioid addiction,POL-DRUG,Recreational Drugs,GREEN,Addiction recovery
CNT-0032,New upload: Content depicting graphic torture of a restrained person,POL-VIOL,Violence,RED,Graphic torture
CNT-0487,Trending: Review comparing different vaping juice flavors and nicotine levels,POL-HARM,Harmful Acts & Unreliable Content,YELLOW,Tobacco product reviews
CNT-0009,Commentary video where profanity is used in most sentences throughout - viewer discretion advised,POL-LANG,Inappropriate Language,YELLOW,Focal profanity usage
CNT-0082,Part 2: Video inciting viewers to commit violence against disabled people - viewer discretion advised,POL-HATE,Hateful & Derogatory Content,RED,Inciting violence protected group
CNT-0264,Compilation video dedicated to insulting and mocking a public figure | unedited,POL-INCEND,Incendiary & Demeaning,YELLOW,Malicious personal attacks
CNT-0003,Reupload of Stand-up comedy set with frequent use of 'bitch' and 'asshole' (2024),POL-LANG,Inappropriate Language,GREEN,Moderate profanity in comedy
CNT-0480,Close-up video of extreme surgical procedure with exposed organs no context,POL-SHOCK,Shocking Content,RED,Gruesome gory no context
CNT-0254,Reupload of Action movie clip showing character getting punched with minimal blood,POL-VIOL,Violence,GREEN,Dramatized non-graphic violence
CNT-0230,Reupload of Video containing racial slurs used casually in conversation | unedited,POL-LANG,Inappropriate Language,RED,Hateful language/slurs
CNT-0490,Documentary about the history of the war on drugs in America (2024),POL-DRUG,Recreational Drugs,GREEN,Drug education documentary
CNT-0345,Reupload of Commentary video where profanity is used in most sentences throughout - full version,POL-LANG,Inappropriate Language,YELLOW,Focal profanity usage
CNT-0459,Part 2: Discussion video about proposed gun control legislation - viewer discretion advised,POL-FIRE,Firearms,GREEN,Gun legislation discussion
CNT-0043,Trending: Video showing exposed nudity with clearly visible sexual body parts - viewer discretion advised,POL-ADULT,Adult Content,RED,Full nudity
CNT-0092,Content glorifying a drug cartel leader and their lifestyle,POL-DRUG,Recreational Drugs,RED,Drug trafficking glorification
CNT-0332,Self-defense tutorial demonstrating basic blocking techniques (2024),POL-VIOL,Violence,GREEN,Fights educational context
CNT-0277,Reupload of Educational video about STDs using animated depictions of sex (2024),POL-ADULT,Adult Content,YELLOW,Non-arousing sexual education
CNT-0108,Full video: Personal recovery story from someone who overcame bulimia | unedited,POL-CONTROV,Controversial Issues,YELLOW,Eating disorder recovery
CNT-0234,New upload: Music video with backing track containing bleeped profanity,POL-LANG,Inappropriate Language,GREEN,Obscured profanity in music
CNT-0103,PSA video about suicide prevention hotline and mental health resources,POL-CONTROV,Controversial Issues,GREEN,Preventing controversial issues
CNT-0303,Full video: Content promoting anti-vaccination conspiracy theories as facts - full version,POL-HARM,Harmful Acts & Unreliable Content,RED,Anti-vaccination misinformation
CNT-0176,Full video: Mukbang video eating live octopus tentacles in theatrical manner (2024),POL-SHOCK,Shocking Content,YELLOW,Sensational mukbang
CNT-0188,Full video: Content promoting white supremacist ideology and symbols,POL-HATE,Hateful & Derogatory Content,RED,Promoting hate groups
CNT-0248,Full video: Content claiming that cancer can be cured through diet alone - full version,POL-HARM,Harmful Acts & Unreliable Content,RED,Medical misinformation
CNT-0197,Viewer requested: Video titled 'F*ck This Product' with uncensored profanity (2024),POL-LANG,Inappropriate Language,RED,Strong profanity in title
CNT-0435,New upload: Video promoting essay writing services for university assignments (2024),POL-DISHON,Enabling Dishonest Behavior,RED,Essay writing service
CNT-0001,New upload: Comedy sketch where host says 'what the hell' and 'damn' throughout,POL-LANG,Inappropriate Language,GREEN,Abbreviated/obscured profanity
CNT-0172,Content claiming a school shooting was staged with crisis actors #trending,POL-INCEND,Incendiary & Demeaning,YELLOW,Crisis actors claim
CNT-0012,Video containing racial slurs used casually in conversation | unedited,POL-LANG,Inappropriate Language,RED,Hateful language/slurs
CNT-0112,Full video: First person account describing child abuse in graphic sexual detail,POL-CONTROV,Controversial Issues,RED,Graphic child abuse descriptive
CNT-0432,Extended cut: Political debate using offensive language about ethnic minorities #trending,POL-HATE,Hateful & Derogatory Content,YELLOW,Offensive language educational debate
CNT-0183,Video titled 'how to end your life with dignity' with instructions,POL-CONTROV,Controversial Issues,RED,Promote suicide
CNT-0326,New upload: Video showing how to break into houses using lockpicking tools,POL-DISHON,Enabling Dishonest Behavior,RED,Trespassing promotion
CNT-0289,Full video: Kids channel video showing realistic toy guns being fired,POL-KIDS,Inappropriate Content for Kids,RED,Guns kids content
CNT-0417,Reupload of Educational video about the history of the civil rights movement #trending,POL-HATE,Hateful & Derogatory Content,GREEN,Educational with obscured slurs
CNT-0477,Content glorifying a drug cartel leader and their lifestyle | unedited,POL-DRUG,Recreational Drugs,RED,Drug trafficking glorification
CNT-0411,Full video: Video claiming COVID-19 vaccines contain microchips - viewer discretion advised,POL-HARM,Harmful Acts & Unreliable Content,RED,COVID misinformation
CNT-0002,Part 2: Music video with backing track containing bleeped profanity (2024),POL-LANG,Inappropriate Language,GREEN,Obscured profanity in music
CNT-0023,Full video: Gaming video with graphic beheading scene in the thumbnail - viewer discretion advised,POL-VIOL,Violence,YELLOW,Graphic game violence thumbnail
CNT-0449,Romantic comedy scene with characters kissing passionately - full version,POL-ADULT,Adult Content,GREEN,Romance or kissing
CNT-0207,Full video: First person account describing child abuse in graphic sexual detail #trending,POL-CONTROV,Controversial Issues,RED,Graphic child abuse descriptive
CNT-0052,Part 2: Pimple popping compilation by a medical professional with explanations,POL-SHOCK,Shocking Content,YELLOW,Medical procedure focal bodily
CNT-0028,New upload: Video showing graphic dead bodies with exposed wounds no context - viewer discretion advised,POL-VIOL,Violence,RED,Graphic dead bodies non-educational
CNT-0120,Part 2: Ethical hacking tutorial explaining penetration testing methodology #trending,POL-DISHON,Enabling Dishonest Behavior,GREEN,Ethical hacking
CNT-0309,New upload: Vlog intro music containing the word 'damn' in lyrics - full version,POL-LANG,Inappropriate Language,GREEN,Moderate profanity in music
CNT-0123,Viewer requested: Tutorial on how to install spyware on someone's phone secretly (2024),POL-DISHON,Enabling Dishonest Behavior,RED,Tracking without consent
CNT-0443,New upload: Music video featuring choreographed hip-hop dancing in a studio #trending,POL-ADULT,Adult Content,GREEN,Sexually graphic dance professional
CNT-0235,Reupload of Thumbnail showing graphic image of self-harm scars for awareness video (2024),POL-CONTROV,Controversial Issues,YELLOW,Controversial thumbnail graphic
CNT-0200,Reupload of Thumbnail with text overlay reading 'BULL***T' | unedited,POL-LANG,Inappropriate Language,YELLOW,Moderate profanity in thumbnail
CNT-0335,Reupload of Documentary showing a child being verbally abused by parent,POL-CONTROV,Controversial Issues,YELLOW,Child abuse non-graphic
CNT-0458,New upload: Video harassing and intimidating a small business owner repeatedly | unedited,POL-INCEND,Incendiary & Demeaning,YELLOW,Harassment intimidation
CNT-0008,Reupload of Rap music video titled 'That Sh*t Hits Different' (2024),POL-LANG,Inappropriate Language,YELLOW,Profanity in music title
CNT-0478,Reupload of Video making false claims about election fraud to undermine voting,POL-HARM,Harmful Acts & Unreliable Content,RED,Election misinformation
CNT-0144,Trending: Video debunking common health misinformation myths | unedited,POL-HARM,Harmful Acts & Unreliable Content,GREEN,Debunking misinformation
CNT-0185,Classical art painting showing discernible sexual acts in thumbnail,POL-ADULT,Adult Content,YELLOW,Classical art sexual thumbnail
CNT-0246,Part 2: Parkour video on top of skyscrapers without safety equipment | unedited,POL-HARM,Harmful Acts & Unreliable Content,YELLOW,High risk activities
CNT-0072,Viewer requested: News report covering discrimination against a religious minority - viewer discretion advised,POL-HATE,Hateful & Derogatory Content,GREEN,News discrimination
CNT-0256,Extended cut: Video titled 'This is absolute shit' reviewing a bad product | unedited,POL-LANG,Inappropriate Language,YELLOW,Moderate profanity in title
CNT-0368,Part 2: Animated educational video teaching kids about stranger danger #trending,POL-KIDS,Inappropriate Content for Kids,GREEN,Kids educational safety
CNT-0106,Reupload of Brief mention 'next week we discuss declining suicide rates' in outro #trending,POL-CONTROV,Controversial Issues,GREEN,Fleeting reference
CNT-0402,Brief mention 'next week we discuss declining suicide rates' in outro - full version,POL-CONTROV,Controversial Issues,GREEN,Fleeting reference
CNT-0342,Video featuring sex toys being demonstrated and reviewed,POL-ADULT,Adult Content,RED,Sex toys or devices
CNT-0007,Thumbnail with text overlay reading 'BULL***T',POL-LANG,Inappropriate Language,YELLOW,Moderate profanity in thumbnail
CNT-0139,Viewer requested: Video promoting a new line of flavored vape pens and e-liquids (2024),POL-TOBAC,Tobacco-Related Content,YELLOW,Promoting tobacco products
CNT-0242,Viewer requested: Influencer promoting herbal cigarettes as a healthy alternative (2024),POL-TOBAC,Tobacco-Related Content,YELLOW,Herbal cigarettes promotion
CNT-0389,Content selling merchandise themed around a recent terrorist attack (2024),POL-SENSIT,Sensitive Events,RED,Profiting sensitive event
CNT-0164,Viewer requested: Political debate using offensive language about ethnic minorities - full version,POL-HATE,Hateful & Derogatory Content,YELLOW,Offensive language educational debate
